State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
New England,12.095,11.244166666666667,11.701666666666666,11.916666666666666,13.445833333333335,15.995833333333335,16.71333333333333,17.68916666666667,17.500833333333336,16.248333333333335,15.8975,15.728333333333337,16.233333333333334,17.853333333333335,19.433333333333334,18.850833333333338,19.435833333333335,20.630833333333335,21.145833333333332,21.290833333333335,21.546666666666667,24.80666666666666,28.820833333333336,27.646666666666665,28.955714285714286
Connecticut,10.923333333333334,10.973333333333334,11.363333333333335,11.64,13.667499999999999,16.931666666666665,19.153333333333332,19.617500000000003,20.38083333333333,19.299999999999997,18.1375,17.385,17.614166666666666,19.81583333333333,20.98333333333333,20.117499999999996,20.355833333333333,21.27166666666667,22.0,22.824166666666667,22.007500000000004,24.866666666666664,30.18166666666666,28.88833333333334,30.66571428571428
Maine,13.18,12.865,12.436666666666667,12.191666666666665,13.361666666666665,13.808333333333335,16.561666666666667,16.260833333333334,15.618333333333334,15.720833333333331,15.380833333333333,14.65333333333333,14.356666666666664,15.313333333333334,15.612499999999997,15.84083333333333,15.966666666666667,16.87666666666667,17.914166666666667,16.811666666666667,17.041666666666664,22.6725,27.544166666666666,23.955833333333334,27.54285714285714
Massachusetts,12.49,10.9425,11.614166666666668,11.756666666666666,13.442499999999997,16.589166666666667,16.235833333333332,17.59583333333333,16.888333333333332,14.601666666666665,14.6725,14.931666666666667,15.830833333333336,17.41333333333333,19.821666666666665,19.049166666666665,20.095,21.63083333333333,21.9425,22.0175,22.919166666666666,25.97666666666667,29.659166666666668,29.360833333333336,30.248571428571427
New Hampshire,12.459999999999999,11.905833333333332,12.008333333333335,12.535833333333334,13.5575,14.722499999999998,14.889999999999999,15.716666666666667,16.405833333333334,16.345,16.540833333333335,16.095833333333335,16.365,17.588333333333335,18.49416666666667,18.406666666666666,19.2425,19.73,20.105833333333333,19.08083333333333,19.915,25.70583333333333,28.165000000000003,23.405833333333334,23.315714285714282
Rhode Island,12.146666666666668,10.220833333333333,11.580833333333333,12.180000000000001,13.017499999999998,15.12166666666667,14.075833333333335,17.475833333333334,15.664166666666667,15.94083333333333,14.325833333333334,14.401666666666666,15.244166666666667,17.233333333333334,19.343333333333334,18.658333333333335,18.40416666666667,20.685,21.839166666666667,22.183333333333334,22.46083333333333,23.536666666666665,27.165000000000003,28.210833333333337,29.70571428571429
Vermont,12.6775,12.781666666666666,12.844999999999999,12.980000000000002,12.9775,13.415833333333332,14.172500000000001,14.512499999999998,14.93,15.611666666666666,16.299166666666668,17.005,17.18666666666667,17.524166666666662,17.14,17.404999999999998,17.710833333333337,18.055,17.750833333333333,19.565833333333334,19.310833333333335,19.996666666666666,20.85833333333333,22.24166666666667,22.798571428571428
Middle Atlantic,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,10.131666666666668,10.299166666666666,10.586666666666666,11.1175,11.528333333333334,12.584166666666663,13.921666666666665,15.41916666666667,16.219166666666666,16.448333333333334,16.224166666666665,15.755,15.655000000000001,15.733333333333334,15.74,15.636666666666663,15.61416666666667,15.411666666666667,15.858333333333334,15.950833333333334,16.294999999999998,16.665,17.588333333333335,19.175833333333333,21.44285714285714
New York,14.007500000000002,13.496666666666668,14.324166666666665,14.534999999999998,15.70833333333333,16.838333333333335,17.09,18.223333333333333,17.474999999999998,18.693333333333335,18.213333333333335,17.555000000000003,18.734166666666667,20.059166666666666,18.499166666666664,17.5425,18.004166666666666,18.474166666666665,17.906666666666666,18.329999999999995,19.473333333333333,22.120833333333334,22.164166666666663,24.300833333333333,25.99857142857143
Pennsylvania,9.714999999999998,9.741666666666667,9.6275,9.616666666666667,9.876666666666665,10.366666666666665,10.9825,11.396666666666667,11.709166666666667,12.748333333333333,13.305833333333334,12.76,12.816666666666668,13.349166666666664,13.716666666666663,13.899166666666666,14.26,13.920833333333334,13.862499999999999,13.615833333333335,13.794166666666667,15.988333333333332,18.134166666666665,17.857499999999998,18.79
